peer_addr = 127.0.0.1:5555
test begin!

BlockID  bct  BlockSize  Priority  Deadline
 5          0       1235          1        200
 9          6     288555          2        200
13          0       1435          1        200
17          0       1475          1        200
21          1      53910          2        200
25          1       1210          1        200
29          1       1205          1        200
33          1      53735          2        200
37          1       1195          1        200
41          1       1255          1        200
45          3     171460          2        200
49          0       1625          1        200
53          0       1450          1        200
57          1      53415          2        200
89          0       1195          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
61          330       1240          1        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
